x,y
0.37790697674418605,0.020855614973261938
0.37572674418604657,0.08288770053475936
0.3844476744186047,0.14919786096256682
0.40188953488372103,0.20695187165775397
0.4324127906976746,0.2796791443850267
0.45857558139534893,0.3459893048128342
0.5,0.4144385026737968
0.5632267441860465,0.4914438502673797
0.6242732558139534,0.5641711229946524
0.6874999999999999,0.6262032085561497
0.7747093023255813,0.6946524064171123
0.9055232558139534,0.7737967914438504
1.0276162790697674,0.8294117647058824
1.1453488372093021,0.8679144385026738
1.2609011627906976,0.8914438502673797
1.3873546511627906,0.9149732620320856
1.5094476744186045,0.9171122994652406
1.6162790697674418,0.9235294117647059
1.7100290697674418,0.9235294117647059
1.8212209302325577,0.9085561497326204
1.8975290697674418,0.9021390374331552
2.008720930232558,0.8764705882352941
2.1329941860465116,0.8294117647058824
2.2180232558139537,0.7759358288770054
2.289970930232558,0.7267379679144386
2.361918604651162,0.6668449197860963
2.37281976744186,0.6368983957219252
