Step, Residual_VM
413, 2964.39
414, 2946.47
415, 2952.11
416, 2933.65
417, 2922.59
418, 2914.51
419, 2897.81
420, 2889.36
421, 2874.2
422, 2877.87
423, 2857.49
424, 2853.08
425, 2844.89
426, 2825.8
427, 2823.95
428, 2813.6
429, 2806.97
430, 2791.46
431, 2780.92
432, 2777.41
433, 2758.72
434, 2751.24
435, 2747.84
436, 2737.05
437, 2730.25
438, 2724.96
439, 2715.15
440, 2712.94
441, 2700.02
442, 2687.86
443, 2691.33
444, 2680.21
445, 2666.93
446, 2664.04
447, 2652.93
448, 2645.68
449, 2638.76
450, 2623.29
451, 2618.38
452, 2615.46
453, 2603.36
454, 2599.73
455, 2584.86
456, 2576.23
457, 2576.1
458, 2566.03
459, 2562.89
460, 2547.73
461, 2539.11
462, 2540.45
463, 2532.07
464, 2528.71
465, 2515.93
466, 2502.42
467, 2510.96
468, 2498.98
469, 2487.81
470, 2479.78
471, 2475.31
472, 2466.2
473, 2458.66
474, 2447.38
475, 2442.21
476, 2438.2
477, 2429.37
478, 2426.12
479, 2409.97
480, 2405.45
481, 2404.02
482, 2396.1
483, 2391.03
484, 2377.99
485, 2370.89
486, 2373.5
487, 2362.54
488, 2359.06
489, 2350.23
490, 2340.31
491, 2343.74
492, 2331.73
493, 2323.7
494, 2319.93
495, 2310.39
496, 2303.33
497, 2299.9
498, 2284.21
499, 2284.52
500, 2279.22
501, 2271.78
502, 2264.06
503, 2254.19
504, 2250.1
505, 2246.44
506, 2237.43
507, 2235.23
508, 2226.13
509, 2218.67
510, 2216.51
511, 2210.11
512, 2209.06
513, 2197.34
514, 2187.55
515, 2191.77
516, 2184.18
517, 2172.79
518, 2169.94
519, 2163.53
520, 2156.07
521, 2150.81
522, 2147.46
523, 2142.78
524, 2139.43
525, 2128.67
526, 2123.52
527, 2124.59
528, 2115.04
529, 2113
530, 2106.82
531, 2097.6
532, 2099.72
533, 2091.77
534, 2084.92
535, 2079.37
536, 2074.58
537, 2068.41
538, 2064.21
539, 2062.26
540, 2054.65
541, 2054
542, 2045.13
543, 2037.24
544, 2039.16
545, 2032.75
546, 2030.85
547, 2022.6
548, 2015.21
549, 2019.86
550, 2010.85
551, 2003.12
552, 2000.47
553, 1995.02
554, 1988.79
555, 1986.31
556, 1977.95
557, 1969.85
558, 1971.6
559, 1964.41
560, 1963.05
561, 1951.94
562, 1948.41
563, 1948.36
564, 1942.11
565, 1934.4
566, 1930.28
567, 1925.85
568, 1916.21
569, 1916.54
570, 1911.31
571, 1906.84
572, 1902.76
573, 1895.46
574, 1892.49
575, 1891.01
576, 1882.66
577, 1882.61
578, 1875.5
579, 1868.68
580, 1868.42
581, 1864.45
582, 1863.41
583, 1854.29
584, 1846.87
585, 1851.1
586, 1846.21
587, 1837.33
588, 1833.9
589, 1830.66
590, 1825.52
591, 1820.61
592, 1814.61
593, 1810.62
594, 1808.87
595, 1801.57
596, 1801.37
597, 1792.17
598, 1788.62
599, 1786.68
600, 1783.31
601, 1781.22
602, 1772.72
603, 1766.86
604, 1770.37
605, 1763.89
606, 1760.82
607, 1754.74
608, 1749.84
609, 1752.45
610, 1744.1
611, 1739.87
612, 1737.25
613, 1731.87
614, 1727.57
615, 1724.63
616, 1716.2
617, 1713.44
618, 1711.16
619, 1707.35
620, 1702.75
621, 1696.85
622, 1694.89
623, 1693.33
624, 1686.03
625, 1682.41
626, 1685.51
627, 1680.24
628, 1672.38
629, 1670.08
630, 1667.74
631, 1663.02
632, 1659.33
633, 1654.13
634, 1650.61
635, 1649.09
636, 1643.72
637, 1643.34
638, 1634.17
639, 1633.18
640, 1631.39
641, 1628.04
642, 1625.91
643, 1618.48
644, 1614.6
645, 1617.02
646, 1610.58
647, 1606.06
648, 1608.88
649, 1604.39
650, 1597.88
651, 1597.39
652, 1593.54
653, 1591.7
654, 1583.1
655, 1581.82
656, 1578.63
657, 1573.45
658, 1569.32
659, 1568.06
660, 1564.17
661, 1562.45
662, 1560.65
663, 1556.27
664, 1555.91
665, 1551.55
666, 1544.09
667, 1548.29
668, 1543.55
669, 1538.47
670, 1534.71
671, 1533.58
672, 1528.87
673, 1527.11
674, 1521.76
675, 1517.37
676, 1518.76
677, 1512.35
678, 1511.55
679, 1506.02
680, 1502.72
681, 1502.78
682, 1498.84
683, 1496.95
684, 1492.05
685, 1487.45
686, 1489.39
687, 1484.85
688, 1479.79
689, 1477.65
690, 1473.7
691, 1469.9
692, 1468.91
693, 1466.96
694, 1462.24
695, 1462.39
696, 1456.65
697, 1452.88
698, 1453.52
699, 1450
700, 1449.11
701, 1443.27
702, 1439.1
703, 1441.99
704, 1437.66
705, 1431.21
706, 1431.48
707, 1427.73
708, 1424.51
709, 1420.01
710, 1421.81
711, 1418.4
712, 1414.81
713, 1416.3
714, 1411.35
715, 1407.28
716, 1407.21
717, 1403.86
718, 1401.43
719, 1395.74
720, 1392.87
721, 1390.79
722, 1387.56
723, 1384
724, 1381.73
725, 1379.87
726, 1379
727, 1372.62
728, 1368.74
729, 1370.73
730, 1367.2
731, 1364.26
732, 1359.69
733, 1357.4
734, 1358.44
735, 1353.11
736, 1352.21
737, 1348.74
738, 1344.11
739, 1345.26
740, 1342.38
741, 1341.6
742, 1337.01
743, 1332.39
744, 1336.48
745, 1331.65
746, 1326.86
747, 1324.09
748, 1323.43
749, 1321.12
750, 1314.76
751, 1314.27
752, 1311.06
753, 1304.81
754, 1305.74
755, 1301.47
756, 1298.56
757, 1295.66
758, 1296.57
759, 1293.96
760, 1287.54
761, 1287.91
762, 1284.98
763, 1280.09
764, 1277.83
765, 1277.8
766, 1274.88
767, 1273.33
768, 1267.9
769, 1267.59
770, 1267.03
771, 1263.01
772, 1259.24
773, 1256.4
774, 1253.99
775, 1252.39
776, 1247.91
777, 1247.82
778, 1245.2
779, 1242.75
780, 1245.04
781, 1239.39
782, 1237.83
783, 1236.31
784, 1232.87
785, 1234.42
786, 1229.91
787, 1227.16
788, 1225.78
789, 1223.05
790, 1221.52
791, 1220.26
792, 1215.79
793, 1211.33
794, 1213.71
795, 1210.15
796, 1208.3
797, 1205.13
798, 1202.25
799, 1203.12
800, 1199.1
801, 1195.76
802, 1195.13
803, 1191.4
804, 1189.34
805, 1186.89
806, 1186.96
807, 1182.78
808, 1181.38
809, 1182.02
810, 1179.33
811, 1174.58
812, 1175.03
813, 1172.24
814, 1170
815, 1166.54
816, 1168.61
817, 1165.34
818, 1163.89
819, 1160.84
820, 1157.69
821, 1160.44
822, 1156.12
823, 1152.32
824, 1151.83
825, 1150.01
826, 1146.51
827, 1144.62
828, 1145.58
829, 1142.5
830, 1141.46
831, 1137.95
832, 1135.67
833, 1138.12
834, 1133.45
835, 1131.89
